name,ra,dec,exposure,repetitions
HT_1601-0084523,142.186084,70.17502,110,4
HT_1603-0084585,141.548064,70.357673,55,4
HT_1602-0084630,141.907506,70.288242,125,4
HT_1602-0084594,141.711009,70.265278,125,4
HT_1604-0084805,141.445398,70.447267,12,5
HT_1602-0084561,141.497828,70.235167,20,4
HT_1601-0084473,141.913589,70.131159,105,4
HT_1601-0084531,142.219395,70.122595,135,4
HT_1600-0085932,141.965634,70.065131,70,4
HT_1601-0084460,141.849342,70.1204,80,4
HT_1602-0084643,141.925112,70.223745,15,4
HT_1603-0084682,141.985159,70.391428,125,4
HT_1603-0084565,141.507531,70.350217,55,4
HT_1605-0084665,141.529198,70.567709,150,4
HT_1606-0084928,141.852395,70.661648,60,4
IT_1620-0139743,292.717287,72.04457,35,3
IT_1620-0139801,292.824145,72.016348,55,4
IT_1620-0139898,293.002825,72.058925,18,3
IT_1619-0138394,293.166781,71.996306,75,3
IT_1619-0138499,293.409506,71.980581,50,3
IT_1620-0140097,293.433834,72.033978,55,3
IT_1620-0140170,293.574628,72.025045,55,3
IT_1622-0144963,293.568862,72.207112,55,3
IT_1621-0143016,292.902973,72.180412,70,4
IT_1621-0143135,293.125459,72.128145,75,4
IT_1624-0141945,295.598522,72.45544074,40,3
IT_1625-0143042,295.2680142,72.52638485,35,3
IT_1624-0141663,295.0619316,72.49334057,53,4
IT_1625-0142946,295.129789,72.58321674,70,4
IT_1625-0143379,295.7468979,72.55546611,70,4
IT_1625-0142837,294.8905706,72.55953574,40,3
IT_1626-0143823,295.2547144,72.64577893,95,3
IT_1626-0143686,294.9965967,72.63783216,60,3
IT_1624-0141650,295.0312901,72.45831368,60,3
IT_1625-0143171,295.4736002,72.53099223,60,4
IT_1625-0143195,295.5075049,72.58743259,70,4
IT_1626-0143657,294.92224,72.62267769,70,4
IT_1626-0143747,295.1193397,72.65026111,70,4
IT_1625-0143016,295.2323058,72.54988513,15,3
ST_Z_HD85471,149.76883,80.37995,1.5,6
ST_Z_HD87582,152.29087,71.68765,1,6
ST_Z_BD+40.2546,188.18703,39.922300,15,5
ST_Z_HD116513,200.45609,71.871260,1,7
ST_Z_HD121859,208.722168,71.903221,2,5
ST_Z_HD138733,232.21309,70.681236,2.5,5
ST_Z_HD153752,253.4078,74.291740,1,5
ST_B_1959+6508_179,299.804005,65.203827,123,4
ST_B_1959+6508_73,299.892611,65.105309,100,3
ST_B_1959+6508_108,300.089121,65.233215,299,5
ST_B_1959+6508_104,300.157875,65.233063,94,3
ST_B_1959+6508_38,300.242218,65.119957,90,3
ST_B_2022+7611_1,305.216805,76.295204,55,6
ST_B_2042+7508_28,310.303501,75.208466,60,5
ST_B_2042+7508_17,310.731885,75.161789,259,6
ST_B_2202+4216_25,330.571074,42.351662,127,3
ST_B_2202+4216_129,330.639142,42.240372,173,3
ST_B_2202+4216_239,330.726919,42.173603,279,5
ST_H_BD+62.2078,336.3899071,63.417410,4,5
ST_B_2340+8015_99,355.608637,80.201736,245,5
BD+64.106,14.40291667,64.859700,6,6
BD+59.389,30.675375,60.257344,2,5
Hiltner960,305.869167,39.349167,7,5
CygOB2_14,308.0686042,41.426617,7,10
VCyg12,308.1708333,41.241389,7,7
G191B2B,76.37755417,52.831100,77,5
